Goal ( 0.026762394451764808 , 0.539859454937 ) Distance 0.540522392544 Score 0.009482848992
Goal ( 0.41600894568496305 , 0.334115859543 ) Distance 0.533569911528 Score 0.0127040455126
Goal ( 0.018988668009820842 , 0.619218949059 ) Distance 0.619510029287 Score 0.0
Goal ( 0.0498681092873086 , 0.630741915822 ) Distance 0.632710196455 Score 0.0
Goal ( 0.37891934546586326 , 0.356330435725 ) Distance 0.520145412161 Score 0.00852697396985
Goal ( 0.3249742480921851 , 0.586631633204 ) Distance 0.670630252075 Score 0.0
Goal ( 0.16638764057625316 , 0.569844902924 ) Distance 0.593639672129 Score 0.0
Goal ( 0.5238832952545774 , 0.185338620014 ) Distance 0.555701458623 Score 0.0
Goal ( 0.38709207933665724 , 0.37887136826 ) Distance 0.541649140655 Score 0.00129271871278
Goal ( 0.43100900299940853 , 0.36343206837 ) Distance 0.563783317407 Score 0.00772305914256
Goal ( 0.536642293462903 , 0.322536728354 ) Distance 0.62611092649 Score 0.0
Goal ( 0.10843008354504124 , 0.506809875271 ) Distance 0.518279203413 Score 0.00691038937883
Goal ( 0.3987832316395688 , 0.388390411188 ) Distance 0.556664330939 Score 0.0
Goal ( 0.4202853632646822 , 0.557132772121 ) Distance 0.697880156149 Score 0.0
Goal ( 0.4879095393736514 , 0.488185937403 ) Distance 0.690203758386 Score 0.0107844337248
Goal ( 0.3987832316395688 , 0.388390411188 ) Distance 0.556664330939 Score 0.0
Goal ( 0.10771535703421474 , 0.512194937764 ) Distance 0.523398750869 Score 0.0
Goal ( 0.026762394451764808 , 0.539859454937 ) Distance 0.540522392544 Score 0.0
Goal ( 0.5697569206504678 , 0.222961791725 ) Distance 0.611829150334 Score 0.00224113241881
Goal ( 0.18881246472328608 , 0.537549451792 ) Distance 0.56974517107 Score 0.00356090731918
Goal ( 0.43100900299940853 , 0.36343206837 ) Distance 0.563783317407 Score 0.0234909715586
Goal ( 0.35136196926407415 , 0.531136443854 ) Distance 0.636836835802 Score 0.0
Goal ( 0.42051225957670935 , 0.419714689955 ) Distance 0.594130441417 Score 0.0212189443363
Goal ( 0.4521088308775833 , 0.267289004011 ) Distance 0.525210249922 Score 0.00420168199937
Goal ( 0.25086317033601646 , 0.559161806717 ) Distance 0.612857451878 Score 0.0
Goal ( 0.350597 , 0.347058 ) Distance 0.493323 Score 0.493322759867
Goal ( 0.442451 , 0.0840277 ) Distance 0.45036 Score 0.450359612703
Goal ( 0.465844 , 0.195367 ) Distance 0.505152 Score 0.0202060890198
Goal ( 0.472716 , 0.113657 ) Distance 0.486188 Score 0.486187636852
Goal ( 0.463895 , 0.187399 ) Distance 0.500317 Score 0.0227416889234
Goal ( 0.402377 , 0.0996914 ) Distance 0.414542 Score 0.414542347193
Goal ( 0.490824 , 0.0260181 ) Distance 0.491513 Score 0.491512835026
Goal ( 0.403494 , 0.0716962 ) Distance 0.409814 Score 0.40981400013
Goal ( 0.41371 , 0.147034 ) Distance 0.439061 Score 0.439061075449
Goal ( 0.440952 , 0.257996 ) Distance 0.510882 Score 0.00982464506076
Goal ( 0.416553 , 0.0669998 ) Distance 0.421907 Score 0.421906888485
Goal ( 0.501974 , 0.0 ) Distance 0.501974 Score 0.0557749072711
Goal ( 0.365737 , 0.0266342 ) Distance 0.366705 Score 0.366705387831
Goal ( 0.306621 , 0.0601487 ) Distance 0.312465 Score 0.312464773655
Goal ( 0.391115 , 0.166724 ) Distance 0.425168 Score 0.425167858601
Goal ( 0.518192 , 0.0229642 ) Distance 0.518701 Score 0.0
Goal ( 0.443856 , 0.0137038 ) Distance 0.444068 Score 0.44406786561
Goal ( 0.405669 , 0.215596 ) Distance 0.459401 Score 0.459400862455
Goal ( 0.338937 , 0.248139 ) Distance 0.420061 Score 0.420061141253
Goal ( 0.319116 , 0.0 ) Distance 0.319116 Score 0.319115906954
Goal ( 0.238328 , 0.0 ) Distance 0.238328 Score 0.238327980042
Goal ( 0.549456 , 0.0432702 ) Distance 0.551158 Score 0.0
